,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
American Samoa,14.0,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
Andorra,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Angola,148.0,0.0,0.0,3.0,0.0,9.0,0.0,3.0,0.0,,6.0,4.0,0.0,0.0,0.0,,,0.0,0.0,,,,3.0,35.0,,,8.0,0.0,,,0.0,0.0,6.0,0.0,17.0,6.0,0.0,,,0.0,6.0,0.0,7.0,,0.0,0.0,10.0,0.0,0.0,,0.0,5.0,,0.0,0.0,0.0,0
Anguilla,19.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antigua-Barbuda,359.0,3.0,5.0,0.0,0.0,4.0,0.0,4.0,3.0,3.0,55.0,10.0,0.0,,0.0,,,,0.0,,,,7.0,4.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,30.0,0.0,134.0,3.0,0.0,3.0,0.0,0.0,12.0,,,,0.0,3.0,8.0,0.0,44.0,0.0,0.0,5.0,0.0,,,0.0,0
Argentina,4399.0,7.0,7.0,30.0,7.0,653.0,38.0,73.0,,16.0,1581.0,68.0,0.0,13.0,8.0,92.0,18.0,7.0,6.0,8.0,9.0,,83.0,61.0,41.0,13.0,9.0,23.0,,,60.0,,169.0,9.0,440.0,50.0,3.0,46.0,12.0,28.0,48.0,46.0,6.0,19.0,,20.0,274.0,0.0,,77.0,,129.0,46.0,3.0,27.0,4.0,0
Armenia,2979.0,0.0,,9.0,,2195.0,37.0,12.0,0.0,7.0,36.0,12.0,0.0,0.0,,11.0,5.0,0.0,0.0,5.0,4.0,0.0,29.0,79.0,11.0,,,7.0,0.0,,63.0,,48.0,3.0,224.0,13.0,0.0,30.0,0.0,5.0,21.0,,3.0,7.0,0.0,5.0,18.0,0.0,0.0,18.0,0.0,24.0,20.0,0.0,7.0,,0
Aruba,49.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,13.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
Australia,2512.0,6.0,10.0,45.0,5.0,596.0,84.0,29.0,,9.0,118.0,59.0,,27.0,6.0,57.0,31.0,13.0,10.0,11.0,15.0,3.0,35.0,60.0,45.0,36.0,3.0,31.0,3.0,,41.0,8.0,76.0,18.0,310.0,61.0,4.0,48.0,14.0,37.0,61.0,3.0,3.0,14.0,5.0,62.0,145.0,0.0,4.0,47.0,6.0,53.0,108.0,3.0,25.0,3.0,0
Austria,442.0,,,9.0,,91.0,10.0,8.0,0.0,3.0,32.0,,0.0,7.0,,22.0,3.0,,0.0,,4.0,,5.0,11.0,13.0,3.0,0.0,0.0,0.0,0.0,,,13.0,3.0,82.0,8.0,0.0,5.0,,6.0,14.0,,,4.0,0.0,4.0,21.0,0.0,,3.0,0.0,12.0,18.0,0.0,6.0,,0
