,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Sudan,2855.0,13.0,4.0,120.0,6.0,141.0,82.0,32.0,4.0,13.0,72.0,105.0,0.0,4.0,13.0,77.0,15.0,100.0,14.0,33.0,5.0,47.0,61.0,47.0,58.0,114.0,5.0,74.0,0.0,120.0,11.0,41.0,33.0,,183.0,150.0,25.0,39.0,,8.0,91.0,0.0,5.0,9.0,54.0,85.0,247.0,0.0,0.0,46.0,12.0,293.0,92.0,0.0,17.0,0.0,32
Suriname,198.0,3.0,0.0,3.0,0.0,7.0,0.0,,0.0,,57.0,3.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,5.0,,,,,,0.0,0.0,0.0,0.0,4.0,,81.0,3.0,0.0,0.0,,0.0,4.0,0.0,,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0
Swaziland,21.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
Sweden,940.0,3.0,,18.0,3.0,224.0,23.0,36.0,,8.0,99.0,19.0,0.0,5.0,3.0,27.0,5.0,0.0,3.0,4.0,4.0,,18.0,23.0,13.0,16.0,3.0,3.0,3.0,0.0,8.0,5.0,29.0,5.0,61.0,39.0,0.0,11.0,3.0,17.0,26.0,,8.0,6.0,0.0,6.0,38.0,0.0,0.0,7.0,,39.0,46.0,0.0,7.0,,7
Switzerland,529.0,3.0,,8.0,0.0,149.0,12.0,12.0,0.0,,54.0,4.0,0.0,7.0,,21.0,3.0,0.0,0.0,0.0,4.0,0.0,11.0,21.0,9.0,4.0,0.0,3.0,,,6.0,,18.0,,44.0,17.0,0.0,6.0,0.0,7.0,14.0,,,11.0,,3.0,17.0,,0.0,,4.0,17.0,13.0,0.0,3.0,,3
Syria,2484.0,8.0,0.0,27.0,3.0,799.0,14.0,25.0,0.0,,154.0,31.0,0.0,,3.0,130.0,18.0,7.0,17.0,8.0,15.0,,29.0,70.0,124.0,4.0,5.0,9.0,0.0,4.0,15.0,,154.0,,225.0,31.0,0.0,83.0,16.0,6.0,120.0,,29.0,11.0,0.0,21.0,118.0,0.0,0.0,4.0,0.0,76.0,16.0,8.0,11.0,0.0,27
Taiwan,7606.0,14.0,5.0,89.0,7.0,4027.0,46.0,54.0,7.0,,119.0,98.0,11.0,61.0,,124.0,43.0,14.0,20.0,13.0,14.0,5.0,141.0,115.0,51.0,44.0,6.0,42.0,0.0,6.0,58.0,7.0,276.0,14.0,630.0,102.0,0.0,60.0,7.0,53.0,108.0,0.0,5.0,22.0,0.0,23.0,504.0,,0.0,31.0,4.0,157.0,312.0,7.0,24.0,0.0,21
Tajikistan,156.0,0.0,0.0,,0.0,11.0,15.0,3.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,3.0,,,,,3.0,0.0,4.0,,0.0,,0.0,62.0,0.0,0.0,,,7.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,1
Tanzania,567.0,8.0,0.0,3.0,,73.0,0.0,4.0,,4.0,43.0,30.0,,,,12.0,3.0,0.0,20.0,,3.0,0.0,34.0,24.0,6.0,20.0,0.0,19.0,0.0,3.0,6.0,4.0,19.0,5.0,42.0,14.0,0.0,24.0,,,17.0,0.0,,,0.0,5.0,67.0,,0.0,,0.0,18.0,12.0,,7.0,0.0,1
Thailand,4962.0,22.0,29.0,62.0,16.0,1609.0,65.0,53.0,5.0,12.0,317.0,77.0,9.0,65.0,22.0,122.0,26.0,16.0,31.0,13.0,32.0,17.0,100.0,166.0,56.0,170.0,9.0,34.0,,7.0,123.0,9.0,53.0,11.0,207.0,156.0,,46.0,24.0,52.0,82.0,0.0,23.0,40.0,,39.0,238.0,10.0,0.0,19.0,6.0,222.0,258.0,,127.0,6.0,41
