,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Cameroon,2920.0,11.0,3.0,38.0,13.0,177.0,25.0,9.0,18.0,46.0,61.0,214.0,0.0,,65.0,14.0,,8.0,27.0,14.0,3.0,881.0,132.0,59.0,150.0,,42.0,0.0,12.0,5.0,6.0,67.0,7.0,132.0,42.0,,69.0,21.0,8.0,49.0,,14.0,,7.0,287.0,0.0,0.0,4.0,,138.0,15.0,,14.0,0.0,0
Canada,18207.0,132.0,66.0,570.0,39.0,2291.0,281.0,303.0,,51.0,2205.0,568.0,147.0,94.0,539.0,221.0,105.0,94.0,146.0,62.0,133.0,276.0,495.0,772.0,323.0,35.0,124.0,62.0,55.0,250.0,162.0,528.0,72.0,1561.0,631.0,71.0,450.0,97.0,188.0,462.0,42.0,208.0,37.0,198.0,1220.0,,28.0,173.0,92.0,422.0,895.0,24.0,161.0,28.0,0
Cape Verde,1780.0,0.0,0.0,0.0,0.0,6.0,0.0,71.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,14.0,,0.0,0.0,0.0,0.0,4.0,341.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0
Cayman Islands,65.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,33.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,11.0,,0.0,,0.0,,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0
Central African Republic,51.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,,3.0,,0.0,4.0,,0.0,0.0,0.0,,0.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,3.0,0.0,0.0,,0.0,0
Chad,73.0,0.0,,,0.0,4.0,,,0.0,0.0,,,0.0,0.0,,12.0,,0.0,,,0.0,10.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,11.0,,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0
Chile,2774.0,8.0,10.0,32.0,7.0,277.0,41.0,68.0,15.0,8.0,832.0,57.0,7.0,11.0,43.0,9.0,5.0,8.0,4.0,7.0,4.0,86.0,53.0,14.0,16.0,6.0,11.0,,5.0,35.0,4.0,142.0,9.0,367.0,57.0,,21.0,3.0,15.0,39.0,6.0,18.0,0.0,18.0,125.0,0.0,28.0,90.0,0.0,104.0,35.0,,6.0,,0
"China, People's Republic",87345.0,301.0,92.0,675.0,170.0,27305.0,783.0,840.0,147.0,133.0,1946.0,1263.0,815.0,139.0,2456.0,654.0,215.0,245.0,312.0,182.0,139.0,1605.0,2768.0,1103.0,654.0,134.0,403.0,62.0,125.0,827.0,177.0,2539.0,166.0,23891.0,878.0,35.0,1195.0,238.0,786.0,2353.0,207.0,260.0,54.0,509.0,3106.0,3.0,375.0,249.0,69.0,1574.0,1577.0,77.0,501.0,33.0,0
Cocos Islands,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Colombia,43151.0,95.0,33.0,222.0,35.0,1970.0,195.0,982.0,40.0,70.0,19832.0,1350.0,17.0,34.0,588.0,101.0,48.0,53.0,85.0,52.0,24.0,489.0,1042.0,106.0,167.0,27.0,108.0,8.0,55.0,168.0,125.0,4175.0,47.0,5282.0,737.0,13.0,171.0,62.0,45.0,596.0,288.0,429.0,6.0,157.0,1626.0,6.0,294.0,182.0,7.0,661.0,128.0,15.0,92.0,11.0,0
Comoros,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
"Congo, Democratic Republic",738.0,,0.0,11.0,0.0,48.0,10.0,18.0,,,26.0,33.0,0.0,0.0,32.0,8.0,3.0,,6.0,0.0,11.0,70.0,32.0,18.0,15.0,0.0,7.0,0.0,,,7.0,8.0,0.0,57.0,64.0,0.0,8.0,,8.0,19.0,4.0,0.0,,9.0,125.0,0.0,0.0,6.0,5.0,35.0,11.0,5.0,8.0,0.0,0
"Congo, Republic",1600.0,3.0,0.0,56.0,0.0,79.0,28.0,27.0,3.0,10.0,32.0,91.0,0.0,0.0,117.0,18.0,15.0,7.0,48.0,,20.0,121.0,71.0,21.0,29.0,0.0,22.0,0.0,10.0,11.0,23.0,29.0,3.0,129.0,152.0,,34.0,5.0,15.0,30.0,0.0,,7.0,22.0,183.0,0.0,0.0,11.0,31.0,46.0,25.0,,9.0,0.0,0
