,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Burkina Faso,163.0,,0.0,,,9.0,,,,,4.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,17.0,0.0,5.0,,,,0.0,,0.0,0.0,7.0,0.0,38.0,,0.0,5.0,,,7.0,0.0,0.0,,0.0,5.0,5.0,,0.0,0.0,0.0,8.0,9.0,0.0,3.0,0.0,3
Burma,2321.0,12.0,4.0,28.0,3.0,775.0,14.0,20.0,4.0,3.0,121.0,35.0,,11.0,5.0,49.0,132.0,4.0,16.0,10.0,7.0,7.0,146.0,25.0,30.0,59.0,6.0,3.0,0.0,13.0,18.0,,35.0,3.0,291.0,67.0,,41.0,13.0,15.0,38.0,0.0,7.0,11.0,,21.0,80.0,4.0,0.0,7.0,3.0,56.0,28.0,,11.0,0.0,21
Burundi,168.0,0.0,0.0,12.0,0.0,8.0,4.0,,0.0,0.0,,8.0,,0.0,0.0,5.0,3.0,,0.0,0.0,0.0,0.0,10.0,,0.0,4.0,0.0,0.0,0.0,,0.0,,,0.0,26.0,5.0,0.0,10.0,5.0,,5.0,0.0,,0.0,,,22.0,0.0,0.0,0.0,4.0,7.0,5.0,0.0,3.0,0.0,4
Cambodia,4589.0,28.0,3.0,28.0,7.0,2040.0,40.0,43.0,0.0,,98.0,72.0,0.0,8.0,,54.0,9.0,12.0,9.0,18.0,14.0,24.0,34.0,443.0,23.0,164.0,7.0,16.0,0.0,3.0,26.0,11.0,20.0,,62.0,39.0,3.0,59.0,5.0,51.0,229.0,0.0,70.0,19.0,0.0,16.0,274.0,,0.0,14.0,0.0,75.0,353.0,0.0,30.0,,28
Cameroon,2172.0,12.0,,25.0,9.0,115.0,16.0,9.0,15.0,16.0,45.0,144.0,0.0,,,70.0,4.0,4.0,5.0,15.0,,0.0,669.0,101.0,35.0,93.0,,27.0,0.0,9.0,6.0,8.0,47.0,5.0,76.0,25.0,,81.0,22.0,6.0,25.0,0.0,,29.0,,15.0,224.0,4.0,0.0,3.0,,71.0,15.0,4.0,15.0,0.0,40
Canada,9318.0,41.0,23.0,360.0,14.0,1254.0,229.0,146.0,22.0,18.0,1064.0,254.0,,71.0,51.0,282.0,91.0,45.0,32.0,56.0,34.0,60.0,134.0,309.0,354.0,138.0,18.0,73.0,42.0,29.0,134.0,90.0,233.0,36.0,550.0,293.0,25.0,211.0,52.0,138.0,236.0,,24.0,114.0,19.0,112.0,703.0,19.0,6.0,110.0,45.0,191.0,527.0,7.0,103.0,9.0,80
Cape Verde,974.0,0.0,0.0,0.0,0.0,,,18.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,732.0,,0.0,0.0,,0.0,0.0,0.0,,10.0,0.0,11.0,0.0,,0.0,3.0,0.0,,0.0,166.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,4
Cayman Islands,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Central African Republic,34.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1
Chad,50.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,10.0,,0.0,,0.0,0.0,6.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,8.0,0.0,0.0,,0.0,3.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0
