,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
Thailand,4314,17.0,30.0,34.0,15.0,1614.0,48.0,30.0,7.0,4.0,170.0,42.0,44.0,,118.0,17.0,,18.0,14.0,11.0,16.0,78.0,214.0,48.0,151.0,,13.0,,7.0,107.0,6.0,61.0,8.0,193.0,59.0,,69.0,16.0,55.0,72.0,29.0,,,32.0,206.0,34.0,4.0,175.0,192.0,4.0,174.0,4.0,9.0,33
Togo,291,,0.0,7.0,0.0,18.0,4.0,5.0,0.0,,6.0,12.0,0.0,0.0,17.0,6.0,,,4.0,0.0,,32.0,7.0,,41.0,0.0,3.0,0.0,11.0,,0.0,8.0,0.0,37.0,11.0,0.0,8.0,0.0,,8.0,,0.0,0.0,0.0,7.0,,0.0,22.0,,0.0,,0.0,0.0,0
Tonga,246,0.0,7.0,,0.0,130.0,,0.0,0.0,,,0.0,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,42.0,0.0,,,0.0,0.0,0.0,0.0,1
Trinidad and Tobago,4832,4.0,,8.0,4.0,118.0,17.0,53.0,21.0,26.0,675.0,100.0,6.0,3.0,25.0,11.0,0.0,6.0,15.0,9.0,3.0,225.0,148.0,16.0,11.0,,11.0,0.0,3.0,8.0,5.0,367.0,7.0,2321.0,59.0,,24.0,15.0,4.0,114.0,7.0,6.0,,10.0,145.0,,0.0,114.0,22.0,3.0,5.0,,20.0,50
Tunisia,226,0.0,0.0,0.0,0.0,53.0,3.0,,,0.0,18.0,6.0,,0.0,8.0,3.0,0.0,,0.0,,0.0,9.0,4.0,10.0,4.0,,,0.0,,,0.0,4.0,,28.0,,,6.0,0.0,0.0,10.0,0.0,0.0,,3.0,13.0,0.0,,19.0,3.0,0.0,,0.0,0.0,2
Turkey,2231,5.0,,19.0,3.0,394.0,23.0,47.0,20.0,3.0,86.0,24.0,5.0,0.0,72.0,8.0,0.0,,8.0,6.0,5.0,49.0,100.0,37.0,12.0,0.0,6.0,,0.0,20.0,5.0,335.0,5.0,452.0,25.0,,56.0,4.0,11.0,83.0,7.0,,0.0,15.0,81.0,,4.0,124.0,30.0,,10.0,,5.0,13
Turkmenistan,59,0.0,0.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,17.0,,0.0,0.0,0.0,,4.0,,0.0,0.0,,0.0,0.0,0.0,,4.0,0.0,4.0,0.0,0.0,0
Uganda,340,,,8.0,0.0,55.0,5.0,4.0,3.0,0.0,17.0,10.0,0.0,0.0,11.0,4.0,0.0,,0.0,,0.0,15.0,34.0,7.0,11.0,0.0,,0.0,,3.0,0.0,18.0,,20.0,6.0,0.0,10.0,4.0,,12.0,,5.0,0.0,5.0,24.0,,0.0,15.0,17.0,,,0.0,0.0,4
Ukraine,9343,6.0,13.0,30.0,5.0,1718.0,126.0,103.0,9.0,,196.0,57.0,5.0,27.0,426.0,29.0,0.0,14.0,28.0,9.0,18.0,166.0,345.0,113.0,134.0,3.0,50.0,,12.0,21.0,14.0,378.0,7.0,2654.0,53.0,,333.0,13.0,276.0,576.0,26.0,8.0,13.0,37.0,103.0,28.0,5.0,108.0,884.0,3.0,63.0,6.0,0.0,88
United Arab Emirates,197,0.0,0.0,,0.0,34.0,4.0,,,0.0,8.0,8.0,0.0,0.0,14.0,,0.0,,0.0,0.0,0.0,3.0,6.0,16.0,5.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,26.0,,0.0,,4.0,,,0.0,0.0,0.0,4.0,31.0,0.0,0.0,8.0,4.0,,,0.0,0.0,0
