,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Haiti,23480.0,11.0,4.0,22.0,0.0,80.0,13.0,319.0,59.0,13.0,14097.0,378.0,0.0,6.0,,74.0,21.0,3.0,9.0,37.0,25.0,8.0,180.0,1560.0,19.0,16.0,,16.0,0.0,6.0,10.0,18.0,1838.0,5.0,3623.0,90.0,,44.0,15.0,18.0,400.0,6.0,61.0,78.0,,19.0,76.0,5.0,29.0,9.0,0.0,86.0,18.0,5.0,5.0,0.0,41.0
Honduras,5462.0,11.0,4.0,32.0,17.0,638.0,27.0,65.0,0.0,14.0,1297.0,121.0,0.0,0.0,3.0,75.0,43.0,19.0,12.0,15.0,221.0,7.0,127.0,132.0,13.0,22.0,14.0,24.0,,12.0,39.0,4.0,288.0,4.0,825.0,146.0,,37.0,16.0,20.0,57.0,8.0,7.0,38.0,,43.0,571.0,4.0,0.0,22.0,,262.0,43.0,,30.0,,24.0
Hong Kong,2093.0,5.0,,30.0,,934.0,11.0,16.0,,4.0,56.0,35.0,5.0,31.0,,51.0,4.0,4.0,8.0,3.0,,,25.0,92.0,24.0,10.0,0.0,9.0,,,20.0,3.0,76.0,0.0,281.0,23.0,0.0,21.0,4.0,23.0,26.0,0.0,4.0,6.0,0.0,6.0,95.0,0.0,0.0,8.0,0.0,32.0,88.0,0.0,8.0,0.0,
Hungary,984.0,,,16.0,3.0,173.0,18.0,26.0,0.0,,225.0,22.0,0.0,3.0,,26.0,3.0,,,4.0,7.0,,11.0,24.0,7.0,4.0,,,,0.0,31.0,,55.0,,116.0,17.0,,15.0,4.0,3.0,26.0,0.0,,8.0,3.0,8.0,43.0,0.0,0.0,4.0,,23.0,20.0,,7.0,,
Iceland,75.0,,0.0,,0.0,18.0,,0.0,0.0,,9.0,,0.0,,,0.0,0.0,,0.0,,0.0,,,3.0,,5.0,0.0,0.0,0.0,,0.0,,,0.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,8.0,3.0,0.0,,0.0,0.0
India,49897.0,182.0,9.0,578.0,94.0,10820.0,256.0,802.0,230.0,36.0,1741.0,2147.0,,22.0,29.0,3120.0,486.0,130.0,221.0,287.0,142.0,28.0,1291.0,1298.0,1334.0,443.0,133.0,338.0,11.0,94.0,201.0,162.0,5354.0,78.0,3638.0,1061.0,31.0,1106.0,210.0,279.0,1997.0,3.0,41.0,344.0,23.0,490.0,4476.0,,7.0,82.0,27.0,2007.0,1379.0,44.0,405.0,10.0,136.0
Indonesia,2190.0,,0.0,25.0,5.0,996.0,33.0,10.0,3.0,,56.0,64.0,0.0,6.0,3.0,42.0,9.0,,7.0,6.0,6.0,3.0,46.0,21.0,11.0,19.0,4.0,6.0,,0.0,40.0,27.0,55.0,,199.0,24.0,,25.0,14.0,10.0,127.0,0.0,,5.0,,12.0,116.0,0.0,0.0,7.0,,44.0,75.0,,10.0,3.0,3.0
Iran,11623.0,23.0,,226.0,10.0,6848.0,83.0,46.0,7.0,21.0,247.0,268.0,,6.0,19.0,190.0,41.0,15.0,26.0,24.0,24.0,15.0,329.0,130.0,80.0,45.0,6.0,56.0,,27.0,111.0,9.0,134.0,19.0,344.0,94.0,,113.0,69.0,61.0,94.0,,6.0,34.0,,91.0,784.0,0.0,0.0,65.0,,463.0,245.0,8.0,35.0,,20.0
Iraq,7771.0,19.0,5.0,426.0,3.0,1764.0,54.0,35.0,0.0,13.0,127.0,113.0,0.0,3.0,64.0,446.0,23.0,33.0,42.0,84.0,18.0,66.0,55.0,89.0,2115.0,66.0,0.0,111.0,6.0,78.0,29.0,29.0,66.0,20.0,159.0,64.0,28.0,120.0,38.0,30.0,134.0,0.0,12.0,31.0,6.0,137.0,427.0,0.0,0.0,50.0,13.0,335.0,131.0,,36.0,,13.0
Ireland,1295.0,,,13.0,3.0,245.0,5.0,37.0,,5.0,86.0,30.0,,3.0,3.0,87.0,5.0,,5.0,11.0,4.0,7.0,17.0,134.0,8.0,10.0,,8.0,,,4.0,6.0,58.0,0.0,261.0,25.0,0.0,25.0,,10.0,36.0,0.0,9.0,12.0,,5.0,40.0,,,3.0,,27.0,22.0,0.0,8.0,0.0,3.0
